File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\feats_test1.cc,Features::test_49ARegpq( const Rectangle & charbox ) const,59,55,32,25,4,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\feats_test1.cc,"Features::test_4ADQao( const Charset & charset, const Rectangle & charbox ) const",58,57,31,30,1,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\feats_test1.cc,Features::test_6abd( const Charset & charset ) const,71,66,43,21,5,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\main.cc,"show_error( const char * const msg, const int errcode = 0, const bool help = false )",13,13,7,4,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\main.cc,Input_control::parse_cut_rectangle( const char * const s ),18,18,12,5,0,4,0,4,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\main.cc,Input_control::parse_threshold( const char * const s ),6,6,5,2,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\main.cc,show_help(),41,41,6,1,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\main.cc,show_version(),6,6,4,0,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\main.cc,my_basename( const char * filename ),4,4,5,2,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\main.cc,"process_file( FILE * const infile, const char * const infile_name, const Input_control & input_control, const Control & control )",51,47,26,15,4,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\main.cc,"main( const int argc, const char * const argv[] )",166,157,114,39,8,3,1,16,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\mask.cc,Mask::left( const int row ) const,4,4,3,3,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\mask.cc,Mask::right( const int row ) const,4,4,3,3,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\mask.cc,Mask::top( const int t ),5,5,5,2,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\mask.cc,Mask::bottom( const int b ),2,2,2,1,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\mask.cc,Mask::add_mask( const Mask & m ),10,10,8,5,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\mask.cc,"Mask::add_point( const int row, const int col )",4,4,4,2,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\mask.cc,Mask::add_rectangle( const Rectangle & re ),11,11,9,5,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\mask.cc,Mask::includes( const Rectangle & re ) const,6,6,5,4,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\mask.cc,"Mask::includes( const int row, const int col ) const",2,2,2,1,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\mask.cc,Mask::distance( const Rectangle & re ) const,13,13,11,5,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\mask.cc,"Mask::distance( const int row, const int col ) const",12,12,10,5,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\ocradlib.cc,"verify_descriptor( OCRAD_Descriptor * const ocrdes, const bool result = false )",5,5,4,3,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\ocradlib.cc,OCRAD_version(),1,1,1,0,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\ocradlib.cc,OCRAD_open(),5,5,5,2,0,1,0,3,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\ocradlib.cc,OCRAD_close( OCRAD_Descriptor * const ocrdes ),6,6,6,4,0,0,0,0,
C:\Users\Vivek\Documents\erp_ionic\node_modules\dom-to-image\bower_components\ocrad-bower\ocrad-0.23-pre1\ocradlib.cc,OCRAD_get_errno( OCRAD_Descriptor * const ocrdes ),3,3,3,2,0,0,0,0,
