File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\color_maps.cpp,649,635,614,9,13,0,1,5,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\constants.cpp,180,142,153,0,17,0,21,85,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\context.cpp,881,602,420,76,94,1,185,1149,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\cssize.cpp,607,498,307,96,99,0,10,57,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\emitter.cpp,297,231,135,36,36,0,30,135,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\environment.cpp,242,177,93,28,25,0,40,232,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\error_handling.cpp,236,196,124,4,39,0,1,7,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\eval.cpp,1664,1410,973,265,143,18,111,745,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\expand.cpp,818,697,468,130,71,2,50,352,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\extend.cpp,2131,1074,767,204,439,19,618,3768,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\file.cpp,486,354,235,84,48,7,84,610,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\functions.cpp,2235,1857,1213,330,242,21,136,762,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\inspect.cpp,1139,964,664,156,124,4,51,313,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\json.cpp,1437,1069,702,270,207,10,161,937,22,173
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\lexer.cpp,182,111,71,17,29,0,42,218,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\listize.cpp,87,76,43,20,11,0,0,0,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\node.cpp,320,219,160,63,89,6,12,132,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\operators.cpp,268,208,128,40,41,4,19,193,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\output.cpp,337,266,192,62,47,1,24,140,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\parser.cpp,3138,2416,1662,546,318,27,404,2494,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\plugins.cpp,185,128,73,32,24,3,33,252,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\position.cpp,172,110,65,18,33,0,29,164,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\prelexer.cpp,1775,1350,333,151,120,0,305,1112,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\remove_placeholders.cpp,85,63,37,14,16,0,6,33,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\sass.cpp,151,100,59,15,20,0,31,244,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\sass2scss.cpp,865,516,304,149,120,0,229,1267,5,15
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\sass_context.cpp,770,608,481,99,74,1,88,543,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\sass_functions.cpp,208,162,117,22,27,0,19,166,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\sass_util.cpp,150,55,41,13,27,0,68,302,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\sass_values.cpp,358,296,241,50,43,1,19,130,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\source_map.cpp,196,154,105,22,28,0,14,63,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\subset_map.cpp,55,49,31,12,6,1,0,2,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\to_c.cpp,75,58,34,9,16,0,1,7,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\to_value.cpp,113,79,36,16,18,0,16,87,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\units.cpp,496,356,278,67,52,17,88,452,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\utf8_string.cpp,103,65,39,13,15,0,23,150,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\util.cpp,734,530,365,140,108,0,96,611,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\values.cpp,132,124,59,27,6,0,2,14,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\utf8.h,35,5,0,0,6,1,24,209,24,207
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\ast.hpp,3050,2471,1152,200,210,9,369,1514,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\ast_def_macros.hpp,81,70,31,1,10,2,1,23,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\ast_fwd_decl.hpp,464,394,343,6,47,7,23,111,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\backtrace.hpp,30,19,8,0,11,0,0,0,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\base64vlq.hpp,31,18,11,0,13,0,0,0,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\bind.hpp,14,9,2,0,5,0,0,0,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\check_nesting.hpp,66,49,38,3,16,0,1,2,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\color_maps.hpp,332,322,310,1,10,0,0,0,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\constants.hpp,182,143,138,0,19,0,20,88,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\context.hpp,153,109,79,0,33,10,11,108,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\cssize.hpp,78,45,35,0,17,0,16,32,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\debug.hpp,44,33,7,0,11,4,0,4,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\debugger.hpp,802,753,662,78,29,2,20,127,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\emitter.hpp,100,69,53,0,13,1,18,102,0,0
C:\Users\Vivek\Documents\erp_ionic\node_modules\node-sass\src\libsass\src\environment.hpp,114,55,39,0,32,0,27,187,0,0
